data: {"type":"message_start","message":{"id":"msg_bdrk_01C9naoPcSsxdTQxwBAz48oH","type":"message","role":"assistant","model":"claude-sonnet-4-20250514","content":[],"stop_reason":null,"stop_sequence":null,"usage":{"input_tokens":15,"cache_creation_input_tokens":0,"cache_read_input_tokens":0,"output_tokens":8}}}

data: {"type":"content_block_start","index":0,"content_block":{"type":"text","text":""}}
data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"def forward(self, X):"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \"\"\""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        Forward propag"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ation"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \n        Args:\n            X"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":": Input data"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" (batch"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_size, input_size)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        Returns:\n            Output"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" predictions\n        \"\"\"\n        #"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Hidden"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" layer"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        self.z1 = np"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".dot(X, self.W"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1) + self.b1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        self.a1 = self"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".sigmoid(self.z1)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \n        # Output layer"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        self.z2 = np"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".dot(self.a1,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" self.W2) + self."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"b2\n        self.a2"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = self.sigmoid(self."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"z2)\n        \n        return"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" self.a2\n    \n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"def backward(self, X, y"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", output"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"):"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \"\"\"\n        Backward propag"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ation\n        \n        Args:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            X: Input data"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            y: True"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" labels"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            output: Predicted output from"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" forwar"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d pass\n        \"\"\"\n        m"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = X.shape[0]  "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"# number"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" of examples"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        \n        # Calculate"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" gradients for"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" output layer\n        dZ"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"2 = output - y\n        "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"dW2 = ("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1/m) * np.dot"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(self.a1.T,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" dZ2)\n        db2"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = (1/m) *"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" np.sum(dZ2,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" axis=0, keepdims="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"True)\n        \n        # Calculate"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" gradients for hidden layer\n        "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"dA"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1 = np.dot("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"dZ2, self.W2."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"T)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n        dZ"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1 = dA1 *"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" self.sigmoid_derivative(self."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"a1)\n        dW1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = (1/m) *"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" np.dot(X.T,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" dZ1)\n        db1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = (1/m) *"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" np.sum(dZ1,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" axis=0, keepdims="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"True)\n        \n        # Update"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" weights and biases\n        self."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"W2"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" -="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" self.learning_rate * dW"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"2\n        self.b2 "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"-= self.learning_rate * db"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"2\n        self.W1 "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"-= self.learning_rate * "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"dW1\n        self.b1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" -= self.learning_rate *"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" db1\n    \n    def train"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(self, X, y, epochs"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"=1000, verbose"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"=True"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"):\n        \"\"\"\n        Train the"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" neural network\n        \n        Args:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            X: Training"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" data"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            y: Training labels\n            epochs"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":": Number of training epochs"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            verbose: Print"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" training"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" progress\n        \"\"\"\n        losses"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = []\n        \n        for epoch"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" in range(epochs):\n            #"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Forward propagation\n            output"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = self.forward(X)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            \n            # Calculate"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" loss ("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"mean"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" squared error)\n            loss = np"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".mean((output - y) **"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" 2)\n            losses"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".append(loss)\n            "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n            # Backward propagation\n            "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"self.backward(X, y,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" output)\n            \n            # Print"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" progress\n            if verbose and epoch %"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" 100 == 0:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n                print(f\""}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"Epoch {epoch},"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Loss: {loss:.6"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"f}\")\n        \n        return losses"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    \n    def predict(self"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", X):\n        \"\"\"Make"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" predictions on"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" new data\"\"\"\n        return self."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"forward(X)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n\n# Example usage:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" X"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"OR problem"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\ndef create_xor_dataset"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"():"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    \"\"\"Create XOR dataset for"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" testing"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\"\"\"\n    X"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = np.array([[0, "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"0],"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n                  [0, 1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"],\n                  [1, "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"0],\n                  [1,"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" 1]])\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    y = np.array([[0"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"],\n                  [1],"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n                  [1],\n                  "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"[0]])\n    \n    return"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" X, y\n\n# Example"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" usage:"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Binary"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" classification with"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" more"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" complex"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" data\ndef create_circle"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"_dataset("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"n_samples=200"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"):"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    \"\"\"Create a circular"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" decision"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" boundary dataset\"\"\"\n    np"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".random.seed(42)"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    \n    #"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Generate points"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    X = np.random.ran"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"dn(n_samples, 2"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    # Create circular"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" decision boundary\n    y"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" = ("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"X[:, 0]"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"**2 + X[:, "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"1]**2 "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"< 1)."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"astype(int)."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"reshape"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(-1, 1)\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    return X, y\n\n#"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Test"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" the neural"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" network\nif"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" __name__ == \"__main__\":"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    print"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(\"Testing Neural"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Network on"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" XOR Problem"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\")\n    print"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(\"=\" * 40"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")\n    \n    # Create X"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"OR dataset\n    X, y ="}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" create_xor_dataset()"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    \n    # Create an"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"d train neural"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" network\n    nn = SimpleNeu"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"ralNetwork(input_size=2"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", hidden_size=4"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", output_size=1"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":","}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" learning_rate=10"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")\n    losses = nn.train"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"(X, y, epochs=2"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"000, verbose=True)\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    # Test"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" predictions\n    print(\"\\nX"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"OR"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Predictions:\")\n    predictions = nn."}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"predict(X)\n    for"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" i in"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" range(len(X"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":")):\n        print(f\"Input"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":": {X[i]}, Target"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":": {y[i]["}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"0]}, Prediction: {predictions"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"[i][0]:.4"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"f}\")\n    \n    # Plot"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" training loss\n    plt.figure("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"figsize=(12"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":", 4))\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    plt.subplot(1, "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"2, 1)\n    plt"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".plot(losses)\n    plt"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".title('Training Loss ("}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"X"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"OR)')\n    plt.xlabel('"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"Epoch')\n    plt.ylabel"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"('Loss')\n    plt"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":".grid(True)\n    "}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":"\n    #"}}

data: {"type":"content_block_delta","index":0,"delta":{"type":"text_delta","text":" Test"}}

